id,name,state,category,featured
1,Bayfront Youth And Family Services,CALIFORNIA,MENTAL_HEALTH_CRISIS_INTERVENTION,NATIONAL
2,Summit Water Distribution Company,UTAH,OTHER,NATIONAL
3,Wayne County Indiana Foundation Inc,INDIANA,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,NATIONAL
4,Simpson College,,HIGHER_EDUCATION,
5,Vicmead Hunt Club,DELAWARE,OTHER,STATE
6,Elgin Symphony Orchestra Assoc,ILLINOIS,ARTS_CULTURE_HUMANITIES,
7,Harrison Memorial Hospital,KENTUCKY,HEALTH_CARE,STATE
8,La Casa Norte,ILLINOIS,HUMAN_SERVICES,STATE
9,Persecution Project Foundation,VIRGINIA,RELIGION_RELATED,
10,Romero Institute,CALIFORNIA,UNCATEGORIZED,
11,Saint Thomas Network,TENNESSEE,HEALTH_CARE,STATE
12,Boys And Girls Club Of Laguna Beach,CALIFORNIA,YOUTH_DEVELOPMENT,
13,Montana State University Foundation,MONTANA,HIGHER_EDUCATION,
14,National Milk Producers Federation,ILLINOIS,UNCATEGORIZED,NATIONAL
15,Sarasota Suncoast Academy,FLORIDA,K_12,
16,Steamfitters Industry Vacation Plan,NEW_YORK,OTHER,STATE
17,Greenleaf Family Center,OHIO,UNCATEGORIZED,
18,Southern Queens Park Association Inc,NEW_YORK,HUMAN_SERVICES,STATE
19,Good Shepherd Hospice,NEW_YORK,HUMAN_SERVICES,STATE
20,United Cerebral Palsy East Central Alabama,ALABAMA,OTHER,
21,Hartford Stage Company,CONNECTICUT,ARTS_CULTURE_HUMANITIES,
22,Somerset Club,MASSACHUSETTS,OTHER,
23,Boy Scouts Of America Mt Diablo Silverado Council,CALIFORNIA,YOUTH_DEVELOPMENT,
24,Prairie View Management Inc,IOWA,MENTAL_HEALTH_CRISIS_INTERVENTION,STATE
25,American Friends Of Hebron Yeshiva Jerusalem Inc,NEW_YORK,INTERNATIONAL_FOREIGN_AFFAIRS_NATIONAL_SECURITY,
26,Lake Mohawk Golf Club,NEW_JERSEY,OTHER,NATIONAL
27,Oaks Academy Inc,INDIANA,K_12,
28,Science Center Of Iowa,IOWA,ARTS_CULTURE_HUMANITIES,
29,Burlington Area Ymca Inc,IOWA,HUMAN_SERVICES,STATE
30,St Lukes Hospital Of Kansas City,MISSOURI,HEALTH_CARE,NATIONAL
31,Lewis Memorial Christian Village,ILLINOIS,RELIGION_RELATED,STATE
32,Success 4 Kids Families,FLORIDA,MENTAL_HEALTH_CRISIS_INTERVENTION,
33,Whitetails Unlimited Inc,WISCONSIN,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,NATIONAL
34,Camphill Special School Inc,PENNSYLVANIA,OTHER,
35,American River Conservancy,CALIFORNIA,ENVIRONMENT,
36,Weld Community Foundation,COLORADO,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,
37,Moncrief Cancer Foundation,TEXAS,HEALTH_CARE,
38,Hoosick Falls Health Center,NEW_YORK,HEALTH_CARE,
39,Personal Care Products Council Foundation,DISTRICT_OF_COLUMBIA,HEALTH_CARE,STATE
40,Shedd Aquarium Society,ILLINOIS,ANIMAL_RELATED,
